station_id;station_name;lat;lng
682;12th & L St NW;38.903960833333336;-77.02822616666667
585;East West Hwy & 16th St;38.95;-76.98
540;River Rd & Landy Ln;38.99567366666667;-76.96
570;Ohio Dr & West Basin Dr SW / MLK & FDR Memorials;38.95;-77.03870033333334
686;North Capitol & R St NE;38.96503833333333;-76.97
322;Eckington Pl & Q St NE;38.884089;-77.103358
394;4th & M St SW;38.92;-77.04648733333333
966;3rd & M St NE;38.9125285;-77.04
149;10th & U St NW;38.910942166666665;-77.0087445
239;14th St & Spring Rd NW;38.89;-77.004975
688;Fessenden St & Wisconsin Ave NW;38.87667783333333;-77.02
558;Kansas Ave & Sherman Cr NW;38.905552166666666;-77.01785533333333
745;Pooks Hill Rd & Linden Ave;38.89;-77.00216166666667
190;1st & N St  SE;38.86;-76.93
507;Potomac Ave & Half St SW;38.9172395;-77.05
464;1st & M St NE;38.937470833333336;-77.025947
758;37th & O St NW / Georgetown University;38.954776333333335;-77.032875
524;Maine Ave & 7th St SW;38.94801116666667;-77.08239683333333
983;10th St & L'Enfant Plaza SW;39.0147325;-77.021414
212;Crystal Dr & 23rd St S;38.874217;-77.1073375
790;Pentagon City Metro / 12th St & S Hayes St;38.870396666666664;-77.0057355
382;Lee Hwy & N Adams St;38.90554983333333;-77.01051033333333
648;Maryland Ave & 17th St NE;38.90780183333333;-77.00556416666667
122;Gravelly Point;38.87873883333334;-77.07160333333333
19;15th & Euclid St  NW;38.8787435;-77.02312633333334
276;14th & D St SE;38.8843855;-77.02303716666667
74;9th & Upshur St NW;38.85335416666667;-77.02587083333333
344;7th & S St NW;38.8621265;-77.04975933333333
632;3rd St & Pennsylvania Ave SE;38.86208883333333;-77.0599475
192;E Fairfax St & S Washington St;38.895925166666665;-77.05995433333334
931;21st St & Pennsylvania Ave NW;38.90194866666667;-77.0889675
527;14th & R St NW;38.8650105;-76.97868683333333
729;Union Market;38.87;-77.03948483333333
438;10th & Florida Ave NW;38.94;-77.0
789;Columbia Rd & Georgia Ave NW;38.92;-77.07
280;14th & Q St NW;38.923405333333335;-77.1
348;Lee Hwy & N Woodstock St;38.88411933333333;-77.03506666666667
752;14th & Belmont St NW;38.87;-76.98605466666666
79;7th & R St NW / Shaw Library;38.88;-76.97
269;11th & Park Rd NW;38.9417375;-77.0
415;17th St & Massachusetts Ave NW;38.91422383333333;-77.02508133333333
497;Thomas Circle;38.887329666666666;-77.0221325
915;14th & Irving St NW;38.880636333333335;-77.00216616666667
266;New Jersey Ave & F St NW;38.89;-77.17186883333333
297;Wilson Blvd. & N. Vermont St.;38.90166333333333;-77.18
689;18th & L St NW;38.912966833333336;-77.04683216666666
175;Connecticut Ave & Yuma St NW;38.94;-77.03181733333334
227;14th St & Colorado Ave NW;38.93;-77.04
622;39th & Veazey St NW;38.92;-76.99
985;Bladensburg Rd & Benning Rd NE;38.9079195;-77.02
859;17th & Upshur St NW;38.9203755;-76.99704833333334
90;12th & Irving St NE;38.92813533333333;-77.02565933333334
706;Vermont Ave & I St NW;38.910879333333334;-77.023865
591;M St & Pennsylvania Ave NW;38.89835816666667;-77.03192616666666
218;M St & New Jersey Ave SE;38.9210585;-77.118013
854;34th & Water St NW;38.94;-77.0315245
777;Roosevelt Island;38.912684166666665;-77.05
198;Columbus Circle / Union Station;38.93137266666667;-77.02259066666667
53;Adams Mill & Columbia Rd NW;38.90813816666667;-77.02823983333333
334;Oak Leaf & Lockwood;38.91;-77.03869016666667
283;11th & S St NW;38.905916833333336;-77.04
137;Washington Blvd & 10th St N;38.92;-77.03255483333334
273;Columbia Rd & Belmont St NW;38.92865783333333;-77.03
38;4th St & Madison Dr NW;38.92;-77.0323245
219;16th & Irving St NW;38.897127833333336;-77.03
929;Shirlington Transit Center / Quincy St & Randolph St;38.879369833333335;-77.01171133333334
336;Crystal Dr & 15th St S;38.92;-77.11456316666667
959;11th & Girard St NW;38.90343883333333;-77.01
49;Henry Bacon Dr & Lincoln Memorial Circle NW;38.907894666666664;-77.04237916666666
466;Court House Metro / 15th St & N Uhle St;38.91;-76.99702983333333
994;Columbia & Ontario Rd NW;38.92;-76.98
417;New Hampshire Ave & Ward Pl NW;38.947057;-77.04
426;18th St & Wyoming Ave NW;38.89;-77.06527066666666
455;18th & Monroe St NE;38.89;-76.99
813;13th St & New York Ave NW;38.95639966666667;-76.99
680;Harvard St & Adams Mill Rd NW;38.91;-77.03300083333333
200;Lincoln Memorial;38.954776333333335;-77.06
210;Reservoir Rd & 38th St NW;38.99567366666667;-77.07704633333333
305;5th St & Massachusetts Ave NW;38.95;-76.982879
241;Eads St & 12th St S;38.96503833333333;-77.0
391;7th & E St SW;38.884089;-77.0
630;Rhode Island & Montana Ave NE;38.92;-77.038647
384;Lamont & Mt Pleasant NW;38.9125285;-76.9908505
912;Kennebec St & 11th St N;38.910942166666665;-77.03
606;15th & P St NW;38.89;-77.03479666666667
999;8th & F St NE;38.87667783333333;-77.06
883;Wisconsin Ave & O St NW;38.905552166666666;-77.05689616666666
762;New York Ave & Hecht Ave NE;38.89;-77.003674
320;14th & V St NW;38.937470833333336;-77.025908
969;Park Rd & Holmead Pl NW;38.94801116666667;-77.04260983333333
117;Georgia Ave & Morton St NW;39.0147325;-76.994511
355;Georgia Ave & Piney Branch Rd NW;38.874217;-77.02
961;East Falls Church Metro / Sycamore St & 19th St N;38.870396666666664;-77.0271255
965;14th & Girard St NW;38.90554983333333;-76.98
80;Constitution Ave & 2nd St NW/DOL;38.90780183333333;-77.02
721;Oklahoma Ave & Benning Rd NE;38.87873883333334;-77.06
739;Maine Ave & 9th St SW;38.8787435;-77.09352283333334
617;John McCormack Dr & Michigan Ave NE;38.8843855;-77.03
635;Potomac & Pennsylvania Ave SE;38.85335416666667;-77.04370533333334
779;Metro Center / 12th & G St NW;38.8621265;-77.04
193;Connecticut Ave & Tilden St NW;38.86208883333333;-77.01725683333333
979;Old Georgetown Rd & Southwick St;38.90194866666667;-77.03624483333333
951;Cordell & Norfolk Ave;38.8650105;-77.03
323;Jefferson Memorial;38.87;-77.02
701;12th & U St NW;38.92;-77.08719383333333
844;Wilson Blvd & N Troy St;38.923405333333335;-77.0
147;14th & Upshur St NW;38.88411933333333;-77.03
978;Key West Ave & Diamondback Dr;38.87;-77.02
65;7th & T St NW;38.88;-77.0496735
238;8th & H St NW;38.9417375;-77.03
261;Calvert & Biltmore St NW;38.91422383333333;-77.03
101;Montgomery & East Ln;38.887329666666666;-77.02708116666666
164;4th & W St NE;38.880636333333335;-77.04938833333334
616;Georgia Ave & Emerson St NW;38.89;-77.03
250;8th & H St NE;38.90166333333333;-77.08479583333333
370;20th & E St NW;38.912966833333336;-77.04246966666666
936;US Dept of State / Virginia Ave & 21st St NW;38.94;-77.04
543;34th St & Wisconsin Ave NW;38.93;-77.0407825
926;7th & F St NW / National Portrait Gallery;38.92;-77.04
