ride_id;rideable_type;started_at;ended_at;start_station_id;end_station_id;member_casual;member_id
91629A95B6D5A8C4;electric_bike;2020.09.30 20:32;2020.09.30 20:57;682;357;member;2015060316
0ECA85E1397BE9A4;electric_bike;2020.09.30 21:11;2020.09.30 21:42;585;229;member;201212245:
00FEC859FAB3D7DB;electric_bike;2020.09.30 23:17;2020.09.30 23:26;540;594;member;201707217:
EEBA27AA1DD39E6E;electric_bike;2020.09.07 17:50;2020.09.07 18:19;570;262;member;2019120413
A978FFFC842D5D97;electric_bike;2020.09.07 13:32;2020.09.07 13:51;686;651;member;2019033023
E31B10F714C7905B;electric_bike;2020.09.07 15:43;2020.09.07 16:28;322;436;member;201207183:
63CC0DFF0FB6A40E;electric_bike;2020.09.07 17:08;2020.09.07 17:37;394;814;member;2018071016
350A075139879B4F;docked_bike;2020.09.28 0:14;2020.09.28 0:33;966;952;member;201710264:
D6204E4D9CC194CD;docked_bike;2020.09.27 22:13;2020.09.27 22:22;149;685;member;201804226:
523E55359D5553CD;docked_bike;2020.09.28 14:19;2020.09.28 14:30;239;593;member;2016040611
52838FA4276F6C1E;docked_bike;2020.09.28 15:34;2020.09.28 15:48;688;274;member;2016032013
B2F9153732BD31F7;docked_bike;2020.09.28 12:49;2020.09.28 13:05;558;806;member;201206163:
459F42DFF0375B82;docked_bike;2020.09.27 21:37;2020.09.27 21:42;745;911;member;201303285:
B330ABC4C7CF9782;docked_bike;2020.09.28 4:58;2020.09.28 5:03;190;262;member;2013012515
1D04BC08BD0DECBC;docked_bike;2020.09.28 17:59;2020.09.28 18:36;507;508;member;201509199:
29A42A5D10EB013E;docked_bike;2020.09.27 20:15;2020.09.27 20:25;464;31;member;201410286:
F3FCD685C3D26CD5;docked_bike;2020.09.28 16:57;2020.09.28 17:21;758;840;member;201703128:
7F888FFAC0F7BDC9;docked_bike;2020.09.28 11:47;2020.09.28 12:00;524;614;member;201205182:
C2AF8EB56179A9E4;docked_bike;2020.09.28 6:55;2020.09.28 7:13;983;173;member;2012111618
998345126E6A1CC9;docked_bike;2020.09.28 17:06;2020.09.28 17:33;212;913;member;201602279:
392D27F0593B99F3;docked_bike;2020.09.30 20:39;2020.09.30 20:55;790;107;member;2015073018
2B5F7AC41B56CFA6;docked_bike;2020.09.30 21:12;2020.09.30 21:35;382;158;member;2016010717
C4914710B150EE17;electric_bike;2020.09.30 23:42;2020.09.30 23:57;648;653;member;2012060710
5FFCC648DD083C17;electric_bike;2020.09.20 16:05;2020.09.20 16:39;122;482;member;201407048:
1351FAFAE9F211D3;electric_bike;2020.09.20 12:05;2020.09.20 12:32;19;773;member;2014011211
4F8246F61F8B9ADE;electric_bike;2020.09.20 13:32;2020.09.20 13:32;276;888;member;2016110910
A8914E61CA107D71;electric_bike;2020.09.20 12:33;2020.09.20 13:29;74;632;member;2018062210
5850790A7E49FD9B;electric_bike;2020.09.20 14:54;2020.09.20 15:02;344;86;member;201911195:
39FD0D8EAD852931;electric_bike;2020.09.20 16:33;2020.09.20 16:35;632;185;member;201204153:
1BC5CA79701C2037;docked_bike;2020.09.20 16:36;2020.09.20 16:44;192;659;member;2013101217
EAB15FCBA6C6E2FC;docked_bike;2020.09.20 14:44;2020.09.20 18:20;931;724;member;201508093:
5A2857921B8D6092;docked_bike;2020.09.20 9:23;2020.09.20 9:24;527;325;member;2016082011
3616552FA7088274;docked_bike;2020.09.20 17:21;2020.09.20 18:01;729;914;member;202003233:
501543F5FB1EC030;docked_bike;2020.09.20 16:59;2020.09.20 17:35;438;473;member;201108285:
8451E304E01C00AA;docked_bike;2020.09.20 12:31;2020.09.20 13:15;789;117;member;201211115:
588A3B516C2A5457;docked_bike;2020.09.20 13:17;2020.09.20 15:34;280;926;member;202005082:
A6F6A8081B8B5A43;docked_bike;2020.09.20 19:56;2020.09.20 20:02;348;441;member;2020080212
19BF60F7A8E87255;docked_bike;2020.09.19 22:55;2020.09.19 23:20;752;754;member;202004139:
6214FA64A2370C4F;docked_bike;2020.09.20 8:39;2020.09.20 8:57;79;177;member;201612291:
FD8FABA708F48C50;docked_bike;2020.09.20 7:10;2020.09.20 7:21;269;281;member;2013031720
D1FF0983089B6572;docked_bike;2020.09.20 19:23;2020.09.20 19:35;415;983;member;201207255:
3689ADE3AE15A9CE;docked_bike;2020.09.20 19:20;2020.09.20 20:38;497;285;member;201801295:
E75E3503687DC323;docked_bike;2020.09.21 15:47;2020.09.21 16:45;915;61;member;2014082623
18F191CA87310BAD;docked_bike;2020.09.21 12:46;2020.09.21 13:11;266;996;member;2015070922
10840CDD43FEEA6E;electric_bike;2020.09.21 11:22;2020.09.21 11:35;297;369;member;201701265:
00EF6990EFCACD6A;electric_bike;2020.09.21 8:29;2020.09.21 8:45;689;496;member;201202052:
1D6EBF19B7F1DEE0;electric_bike;2020.09.21 6:47;2020.09.21 6:53;175;477;member;201910135:
721CC2E4065FBC57;electric_bike;2020.09.30 21:22;2020.09.30 21:32;227;270;member;2012050615
7F5120209A6BC179;electric_bike;2020.09.30 22:51;2020.09.30 22:57;622;889;member;201806028:
BF81D58A18692F32;electric_bike;2020.09.17 13:23;2020.09.17 13:30;985;520;member;201903129:
